Time(ms),Finger,Phase,MotorID,SensorRaw,L_meas_cm,Theta_meas_deg,Theta_target_deg,L_target_cm,GoalTick,PresentTick,Err_theta_deg
18549,Thumb,Flex,1,301,2.2132369804046403,18.443641503372003,16.03333333333333,1.9239999999999997,100050,100019,-2.4103081700386717
18549,Index,Flex,2,315,2.094581476746037,17.45484563955031,14.216666666666665,1.7059999999999997,100053,100048,-3.238178972883645
18549,Middle,Flex,3,301,2.49455557384854,20.7879631154045,14.666666666666664,1.7599999999999996,100072,100070,-6.121296448737837
18615,Thumb,Flex,1,302,2.0537125543305486,17.114271286087906,16.400000000000002,1.9680000000000002,100068,100059,-0.7142712860879037
18615,Index,Flex,2,302,2.0082208962481882,16.735174135401568,14.600000000000001,1.752,100077,100044,-2.1351741354015665
18615,Middle,Flex,3,302,1.7801199594725663,14.83433299560472,15.0,1.7999999999999998,100063,100089,0.1656670043952797
18681,Thumb,Flex,1,312,2.336229299677071,19.468577497308925,16.766666666666666,2.012,100083,100085,-2.701910830642259
18681,Index,Flex,2,306,2.4976941104275614,20.814117586896344,14.983333333333334,1.798,100039,100022,-5.83078425356301
18681,Middle,Flex,3,304,2.17054880350587,18.08790669588225,15.333333333333334,1.84,100071,100091,-2.754573362548916
18747,Thumb,Flex,1,305,2.159565502915824,17.9963791909652,17.133333333333333,2.056,100060,100100,-0.8630458576318674
18747,Index,Flex,2,311,2.3371254707735956,19.476045589779964,15.366666666666667,1.844,100049,100074,-4.109378923113297
18747,Middle,Flex,3,298,2.111690330514786,17.59741942095655,15.666666666666668,1.8800000000000001,100059,100035,-1.930752754289884
18813,Thumb,Flex,1,315,2.1169440573733884,17.64120047811157,17.5,2.1,100085,100068,-0.14120047811157121
18813,Index,Flex,2,307,2.100235739211789,17.501964493431576,15.75,1.89,100041,100078,-1.7519644934315757
18813,Middle,Flex,3,306,2.2821740389681615,19.018116991401346,16.0,1.92,100090,100069,-3.018116991401346
18879,Thumb,Flex,1,290,2.4038844198080223,20.03237016506685,17.866666666666667,2.144,100076,100079,-2.165703498400184
18879,Index,Flex,2,309,2.322588738459623,19.354906153830193,16.133333333333333,1.936,100092,100130,-3.22157282049686
18879,Middle,Flex,3,317,2.515424819195418,20.96187349329515,16.333333333333332,1.9599999999999997,100075,100041,-4.628540159961819
18945,Thumb,Flex,1,312,2.136071982562774,17.800599854689786,18.233333333333334,2.188,100071,100040,0.4327334786435486
18945,Index,Flex,2,307,2.366786585918447,19.723221549320392,16.516666666666666,1.9819999999999998,100080,100112,-3.2065548826537267
18945,Middle,Flex,3,313,2.486001531584904,20.7166794298742,16.666666666666668,2.0,100092,100116,-4.050012763207533
19011,Thumb,Flex,1,300,2.62903051102794,21.9085875918995,18.599999999999998,2.2319999999999998,100077,100113,-3.308587591899503
19011,Index,Flex,2,317,2.3903710097529887,19.91975841460824,16.9,2.0279999999999996,100062,100096,-3.0197584146082406
19011,Middle,Flex,3,299,2.4824004480086543,20.68667040007212,17.0,2.04,100046,100067,-3.6866704000721207
19077,Thumb,Flex,1,297,2.696536549609495,22.47113791341246,18.966666666666665,2.276,100070,100037,-3.504471246745794
19077,Index,Flex,2,294,2.351708512122106,19.597570934350884,17.28333333333333,2.074,100064,100097,-2.3142376010175525
19077,Middle,Flex,3,312,2.4586969324596164,20.48914110383014,17.333333333333332,2.0799999999999996,100084,100082,-3.155807770496807
19143,Thumb,Flex,1,295,3.0667927478918395,25.556606232431996,19.333333333333332,2.32,100074,100110,-6.223272899098664
19143,Index,Flex,2,309,2.8828626446893266,24.023855372411056,17.666666666666668,2.12,100098,100059,-6.357188705744388
19143,Middle,Flex,3,306,2.432610994365442,20.271758286378684,17.666666666666664,2.1199999999999997,100098,100081,-2.60509161971202
19209,Thumb,Flex,1,310,2.323790021486546,19.36491684572122,19.7,2.364,100069,100060,0.3350831542787809
19209,Index,Flex,2,303,2.2037969596151123,18.36497466345927,18.049999999999997,2.1659999999999995,100060,100072,-0.3149746634592745
19209,Middle,Flex,3,291,2.2291012114959603,18.575843429133002,18.0,2.16,100055,100037,-0.5758434291330019
19275,Thumb,Flex,1,315,2.6864114984410237,22.386762487008532,20.066666666666663,2.4079999999999995,100108,100139,-2.3200958203418693
19275,Index,Flex,2,302,2.4397246534457397,20.331038778714497,18.433333333333334,2.2119999999999997,100086,100124,-1.8977054453811633
19275,Middle,Flex,3,302,2.578833846894325,21.490282057452706,18.333333333333332,2.1999999999999997,100075,100113,-3.156948724119374
19341,Thumb,Flex,1,304,2.6359479741071534,21.96623311755961,20.433333333333337,2.4520000000000004,100087,100088,-1.5328997842262737
19341,Index,Flex,2,300,2.4984648649510564,20.820540541258804,18.816666666666666,2.258,100099,100099,-2.003873874592138
19341,Middle,Flex,3,301,2.233547440486129,18.61289533738441,18.666666666666668,2.24,100053,100065,0.05377132928225947
19407,Thumb,Flex,1,296,2.6600549359765493,22.167124466471247,20.8,2.496,100079,100050,-1.367124466471246
19407,Index,Flex,2,300,2.73066989637892,22.755582469824336,19.200000000000003,2.3040000000000003,100104,100140,-3.5555824698243335
19407,Middle,Flex,3,304,2.695573095622827,22.463109130190226,19.0,2.28,100061,100077,-3.463109130190226
19473,Thumb,Flex,1,298,2.98467989525305,24.872332460442085,21.166666666666668,2.54,100081,100092,-3.7056657937754167
19473,Index,Flex,2,304,2.8515810901796033,23.763175751496696,19.583333333333332,2.3499999999999996,100091,100109,-4.179842418163364
19473,Middle,Flex,3,309,2.6021653928924238,21.684711607436867,19.333333333333336,2.3200000000000003,100058,100060,-2.3513782741035314
19539,Thumb,Flex,1,301,2.60196119476663,21.683009956388585,21.533333333333335,2.584,100098,100118,-0.14967662305524954
19539,Index,Flex,2,300,2.904339977799094,24.202833148325784,19.96666666666667,2.3960000000000004,100103,100116,-4.236166481659115
19539,Middle,Flex,3,309,2.634157757123175,21.951314642693124,19.666666666666668,2.36,100098,100102,-2.2846479760264558
19605,Thumb,Flex,1,304,3.181882399410148,26.515686661751236,21.900000000000002,2.628,100115,100078,-4.6156866617512335
19605,Index,Flex,2,310,2.8394619129356395,23.662182607796996,20.35,2.442,100069,100109,-3.312182607796995
19605,Middle,Flex,3,299,2.881181018832261,24.009841823602176,20.0,2.4,100082,100064,-4.0098418236021764
19671,Thumb,Flex,1,298,3.0478296607868707,25.398580506557256,22.266666666666666,2.6719999999999997,100105,100083,-3.13191383989059
19671,Index,Flex,2,297,2.8704400109392645,23.920333424493872,20.733333333333334,2.488,100111,100140,-3.187000091160538
19671,Middle,Flex,3,316,2.9651868020943386,24.70989001745282,20.333333333333332,2.44,100061,100085,-4.376556684119489
19737,Thumb,Flex,1,299,2.9178470818408258,24.315392348673548,22.633333333333333,2.7159999999999997,100106,100121,-1.682059015340215
19737,Index,Flex,2,298,2.59571710097049,21.63097584142075,21.116666666666667,2.534,100065,100073,-0.5143091747540822
19737,Middle,Flex,3,294,3.0789032015885023,25.657526679904187,20.666666666666668,2.48,100064,100060,-4.990860013237519
19803,Thumb,Flex,1,305,2.7681545791919806,23.067954826599838,23.0,2.76,100107,100131,-0.06795482659983776
19803,Index,Flex,2,310,2.7727318274302615,23.106098561918845,21.5,2.58,100083,100103,-1.606098561918845
19803,Middle,Flex,3,297,2.846575626722731,23.721463556022762,21.0,2.52,100079,100056,-2.721463556022762
19869,Thumb,Flex,1,309,3.5701618073827093,29.751348394855913,23.366666666666667,2.804,100120,100129,-6.384681728189246
19869,Index,Flex,2,310,2.7112079277871706,22.59339939822642,21.883333333333333,2.626,100112,100109,-0.7100660648930877
19869,Middle,Flex,3,313,3.0006938339619187,25.005781949682657,21.333333333333336,2.56,100068,100077,-3.672448616349321
19935,Thumb,Flex,1,307,2.984040872359449,24.867007269662075,23.733333333333334,2.848,100098,100078,-1.1336739363287407
19935,Index,Flex,2,301,3.2737312903043034,27.281094085869196,22.26666666666667,2.672,100108,100144,-5.014427419202526
19935,Middle,Flex,3,303,3.1396760433843536,26.163967028202947,21.666666666666664,2.5999999999999996,100100,100085,-4.497300361536283
20001,Thumb,Flex,1,304,3.3224990037164157,27.687491697636798,24.1,2.892,100118,100121,-3.5874916976367963
20001,Index,Flex,2,307,3.032453902159564,25.270449184663033,22.650000000000002,2.718,100079,100077,-2.6204491846630305
20001,Middle,Flex,3,302,2.62266650552345,21.855554212695417,22.0,2.6399999999999997,100096,100117,0.14444578730458346
20067,Thumb,Flex,1,313,3.358545892177685,27.987882434814043,24.466666666666665,2.9359999999999995,100097,100076,-3.5212157681473784
20067,Index,Flex,2,314,3.3169698893351223,27.641415744459355,23.03333333333333,2.764,100111,100086,-4.6080824111260235
20067,Middle,Flex,3,306,3.131472716049608,26.09560596708007,22.333333333333332,2.6799999999999997,100080,100045,-3.7622726337467363
20133,Thumb,Flex,1,291,3.0077133908637075,25.064278257197564,24.833333333333336,2.98,100105,100066,-0.2309449238642287
20133,Index,Flex,2,302,2.798548414147617,23.321236784563474,23.416666666666664,2.8099999999999996,100094,100117,0.09542988210318981
20133,Middle,Flex,3,293,3.1563098792675306,26.302582327229423,22.666666666666668,2.72,100097,100109,-3.6359156605627554
20199,Thumb,Flex,1,284,3.141701486457429,26.180845720478576,25.2,3.024,100090,100110,-0.9808457204785768
20199,Index,Flex,2,305,3.5028129351631665,29.19010779302639,23.8,2.856,100097,100118,-5.390107793026388
20199,Middle,Flex,3,313,3.309196392911118,27.57663660759265,23.0,2.76,100100,100064,-4.576636607592651
20265,Thumb,Flex,1,307,3.5686700018006605,29.738916681672173,25.56666666666667,3.0680000000000005,100117,100149,-4.172250015005503
20265,Index,Flex,2,303,3.418888449724596,28.4907370810383,24.183333333333334,2.902,100104,100139,-4.307403747704967
20265,Middle,Flex,3,300,3.228337107315933,26.902809227632776,23.333333333333336,2.8000000000000003,100076,100070,-3.5694758942994405
20331,Thumb,Flex,1,308,3.489750966761549,29.081258056346243,25.93333333333333,3.1119999999999997,100084,100087,-3.1479247230129133
20331,Index,Flex,2,303,3.040646406746594,25.338720056221618,24.566666666666666,2.948,100121,100088,-0.7720533895549515
20331,Middle,Flex,3,304,3.08484377633476,25.707031469456332,23.666666666666664,2.8399999999999994,100094,100068,-2.040364802789668
20397,Thumb,Flex,1,313,3.180543611136357,26.504530092802977,26.3,3.156,100096,100135,-0.20453009280297607
20397,Index,Flex,2,315,3.387064226319418,28.225535219328485,24.95,2.9939999999999998,100102,100114,-3.2755352193284857
20397,Middle,Flex,3,316,3.7306530476055295,31.088775396712748,24.0,2.88,100100,100084,-7.088775396712748
20463,Thumb,Flex,1,308,3.950209090840556,32.91840909033797,26.666666666666664,3.1999999999999997,100099,100122,-6.251742423671303
20463,Index,Flex,2,309,3.217532095901162,26.812767465843017,25.333333333333336,3.04,100083,100111,-1.479434132509681
20463,Middle,Flex,3,306,3.1247031025925764,26.039192521604804,24.333333333333332,2.92,100110,100128,-1.7058591882714715
20529,Thumb,Flex,1,300,3.27280982606057,27.273415217171415,27.033333333333335,3.244,100105,100107,-0.24008188383808005
20529,Index,Flex,2,306,3.542104701884217,29.517539182368477,25.71666666666667,3.0860000000000003,100094,100108,-3.8008725157018084
20529,Middle,Flex,3,301,3.290734948176622,27.422791234805185,24.666666666666668,2.96,100126,100095,-2.7561245681385174
20595,Thumb,Flex,1,292,3.14587194949138,26.21559957909483,27.4,3.288,100118,100086,1.1844004209051668
20595,Index,Flex,2,311,3.501271614232327,29.177263451936057,26.099999999999998,3.1319999999999997,100109,100144,-3.0772634519360587
20595,Middle,Flex,3,309,3.281133882259771,27.34278235216476,25.0,3.0,100094,100101,-2.342782352164761
20661,Thumb,Flex,1,307,3.577049002312704,29.8087416859392,27.766666666666666,3.332,100109,100130,-2.0420750192725343
20661,Index,Flex,2,315,3.623725023385487,30.197708528212395,26.48333333333333,3.1779999999999995,100126,100147,-3.7143751948790644
20661,Middle,Flex,3,311,3.4627466501119253,28.856222084266044,25.333333333333336,3.04,100085,100066,-3.522888750932708
20727,Thumb,Flex,1,310,3.71160380047409,30.930031670617417,28.13333333333333,3.3759999999999994,100143,100145,-2.796698337284088
20727,Index,Flex,2,303,3.8954815578324107,32.46234631527009,26.866666666666667,3.2239999999999998,100099,100082,-5.595679648603422
20727,Middle,Flex,3,306,3.4219166252157573,28.51597187679798,25.666666666666664,3.0799999999999996,100108,100124,-2.849305210131316
20793,Thumb,Flex,1,302,3.7157436970903044,30.964530809085872,28.5,3.42,100121,100103,-2.464530809085872
20793,Index,Flex,2,306,3.204365998393949,26.703049986616243,27.25,3.27,100134,100094,0.546950013383757
20793,Middle,Flex,3,317,3.4050818735984447,28.37568227998704,26.0,3.12,100090,100061,-2.375682279987039
20859,Thumb,Flex,1,303,3.5763647017518965,29.803039181265806,28.86666666666667,3.4640000000000004,100114,100091,-0.9363725145991353
20859,Index,Flex,2,300,3.4070903608799217,28.39241967399935,27.633333333333333,3.316,100109,100095,-0.7590863406660162
20859,Middle,Flex,3,306,3.5869167396773447,29.89097283064454,26.333333333333336,3.16,100124,100120,-3.5576394973112038
20925,Thumb,Flex,1,305,3.9861091063432763,33.21757588619397,29.233333333333334,3.508,100108,100104,-3.9842425528606356
20925,Index,Flex,2,311,4.074494916506341,33.954124304219505,28.01666666666667,3.362,100142,100157,-5.937457637552836
20925,Middle,Flex,3,302,3.4796646177863972,28.99720514821998,26.666666666666664,3.1999999999999997,100123,100146,-2.3305384815533152
20991,Thumb,Flex,1,306,3.6744098960978646,30.620082467482206,29.6,3.552,100120,100120,-1.0200824674822044
20991,Index,Flex,2,306,3.50512570604535,29.209380883711248,28.400000000000002,3.408,100131,100155,-0.8093808837112455
20991,Middle,Flex,3,320,3.440250087916748,28.668750732639566,27.0,3.2399999999999998,100103,100107,-1.668750732639566
21057,Thumb,Flex,1,311,3.5918614600689005,29.932178833907503,29.966666666666665,3.5959999999999996,100106,100085,0.03448783275916156
21057,Index,Flex,2,302,4.012531673977629,33.43776394981358,28.78333333333333,3.4539999999999997,100125,100088,-4.654430616480248
21057,Middle,Flex,3,317,3.9175529183870688,32.64627431989224,27.333333333333332,3.28,100114,100121,-5.31294098655891
21123,Thumb,Flex,1,305,3.995609902371807,33.296749186431725,30.333333333333336,3.64,100118,100124,-2.9634158530983896
21123,Index,Flex,2,292,4.003204721357131,33.36003934464276,29.166666666666668,3.5,100145,100117,-4.19337267797609
21123,Middle,Flex,3,307,3.560949856980072,29.674582141500604,27.666666666666668,3.32,100091,100088,-2.0079154748339363
21189,Thumb,Flex,1,313,3.8929741313792885,32.44145109482741,30.7,3.6839999999999997,100140,100171,-1.7414510948274078
21189,Index,Flex,2,299,3.987832229890955,33.23193524909129,29.55,3.546,100132,100112,-3.6819352490912927
21189,Middle,Flex,3,297,3.912540390495362,32.60450325412802,28.0,3.36,100124,100114,-4.604503254128019
21255,Thumb,Flex,1,301,4.098805111945825,34.15670926621521,31.06666666666667,3.728,100127,100145,-3.090042599548539
21255,Index,Flex,2,315,4.025842866809886,33.54869055674905,29.933333333333334,3.592,100103,100075,-3.6153572234157174
21255,Middle,Flex,3,300,3.6586098470059984,30.488415391716654,28.333333333333332,3.4,100133,100103,-2.1550820583833215
21321,Thumb,Flex,1,302,4.215647165857283,35.130393048810696,31.43333333333333,3.7719999999999994,100139,100141,-3.6970597154773657
21321,Index,Flex,2,313,3.6890745352877303,30.74228779406442,30.316666666666666,3.638,100115,100153,-0.42562112739775415
21321,Middle,Flex,3,309,4.269867118627413,35.58222598856178,28.666666666666668,3.44,100129,100092,-6.915559321895113
21387,Thumb,Flex,1,312,4.396458332665169,36.637152772209745,31.8,3.816,100114,100135,-4.837152772209745
21387,Index,Flex,2,301,3.648259033165094,30.40215860970912,30.7,3.6839999999999997,100151,100117,0.2978413902908805
21387,Middle,Flex,3,303,3.88566636525351,32.38055304377925,29.0,3.48,100108,100144,-3.3805530437792513
21453,Thumb,Flex,1,304,3.814538817795893,31.787823481632444,32.166666666666664,3.8599999999999994,100157,100189,0.37884318503422065
21453,Index,Flex,2,305,4.010509109702996,33.42090924752497,31.083333333333332,3.7299999999999995,100113,100129,-2.3375759141916355
21453,Middle,Flex,3,305,3.7772372717692275,31.476977264743564,29.333333333333332,3.5199999999999996,100127,100133,-2.1436439314102316
21519,Thumb,Flex,1,298,4.339236432583038,36.160303604858655,32.53333333333333,3.9039999999999995,100156,100142,-3.626970271525323
21519,Index,Flex,2,312,4.369879042508712,36.4156586875726,31.46666666666667,3.7760000000000002,100152,100116,-4.9489920209059335
21519,Middle,Flex,3,306,3.8806974302065154,32.339145251720964,29.666666666666668,3.56,100121,100083,-2.6724785850542965
21585,Thumb,Flex,1,311,4.164300137425797,34.702501145214974,32.9,3.9479999999999995,100156,100180,-1.8025011452149755
21585,Index,Flex,2,306,4.045240006119364,33.71033338432804,31.849999999999998,3.8219999999999996,100119,100121,-1.8603333843280403
21585,Middle,Flex,3,305,4.171026826349037,34.758556886241976,30.0,3.5999999999999996,100129,100146,-4.758556886241976
21651,Thumb,Flex,1,311,4.523007419065897,37.691728492215816,33.266666666666666,3.9919999999999995,100158,100146,-4.42506182554915
21651,Index,Flex,2,303,3.7087193200420354,30.90599433368363,32.233333333333334,3.868,100113,100153,1.3273389996497045
21651,Middle,Flex,3,313,3.8576560874107146,32.147134061755956,30.333333333333336,3.64,100108,100078,-1.8138007284226205
21717,Thumb,Flex,1,308,4.555501163538894,37.962509696157454,33.63333333333333,4.036,100137,100099,-4.329176362824121
21717,Index,Flex,2,325,3.908768374285,32.573069785708334,32.61666666666666,3.9139999999999993,100128,100114,0.04359688095832581
21717,Middle,Flex,3,316,3.7842959254522563,31.535799378768804,30.666666666666664,3.6799999999999997,100105,100101,-0.8691327121021395
21783,Thumb,Flex,1,315,4.525618416646967,37.7134868053914,34.0,4.08,100131,100152,-3.7134868053913976
21783,Index,Flex,2,316,4.19919445728615,34.99328714405125,33.0,3.96,100129,100102,-1.9932871440512514
21783,Middle,Flex,3,312,4.050203892965388,33.751699108044896,31.0,3.7199999999999998,100131,100114,-2.751699108044896
21849,Thumb,Flex,1,309,4.374508528583404,36.45423773819504,34.0,4.08,100167,100204,-2.45423773819504
21849,Index,Flex,2,309,4.384385119886757,36.536542665722976,33.0,3.96,100160,100173,-3.536542665722976
21849,Middle,Flex,3,296,4.31941939408962,35.9951616174135,31.0,3.7199999999999998,100119,100151,-4.995161617413501
21915,Thumb,Flex,1,301,4.16770508658739,34.73087572156159,33.63333333333333,4.036,100131,100116,-1.0975423882282556
21915,Index,Flex,2,305,4.165063673117477,34.70886394264564,32.61666666666666,3.9139999999999993,100138,100120,-2.0921972759789824
21915,Middle,Flex,3,310,3.9717726168574288,33.09810514047857,30.666666666666664,3.6799999999999997,100126,100141,-2.431438473811909
21981,Thumb,Flex,1,314,4.526568760094821,37.72140633412351,33.266666666666666,3.9919999999999995,100140,100119,-4.454739667456842
21981,Index,Flex,2,309,3.907726572907782,32.56438810756485,32.233333333333334,3.868,100156,100166,-0.33105477423151797
21981,Middle,Flex,3,302,3.7389098812275567,31.157582343562975,30.333333333333336,3.64,100118,100086,-0.8242490102296394
22047,Thumb,Flex,1,308,4.072187367662793,33.934894730523276,32.9,3.9479999999999995,100119,100097,-1.034894730523277
22047,Index,Flex,2,308,4.121319970120376,34.34433308433647,31.849999999999998,3.8219999999999996,100136,100165,-2.4943330843364713
22047,Middle,Flex,3,295,3.857269748082562,32.143914567354685,30.0,3.5999999999999996,100143,100112,-2.1439145673546847
22113,Thumb,Flex,1,303,4.202282546117409,35.019021217645076,32.53333333333333,3.9039999999999995,100150,100138,-2.4856878843117443
22113,Index,Flex,2,299,4.198121819369003,34.984348494741695,31.46666666666667,3.7760000000000002,100130,100135,-3.517681828075027
22113,Middle,Flex,3,304,4.165373066467865,34.711442220565544,29.666666666666668,3.56,100138,100155,-5.0447755538988766
22179,Thumb,Flex,1,312,4.316974908066416,35.974790900553465,32.166666666666664,3.8599999999999994,100146,100143,-3.808124233886801
22179,Index,Flex,2,309,3.878885932895296,32.324049440794134,31.083333333333332,3.7299999999999995,100110,100083,-1.240716107460802
22179,Middle,Flex,3,329,4.093165980094962,34.10971650079135,29.333333333333332,3.5199999999999996,100134,100119,-4.776383167458018
22245,Thumb,Flex,1,303,4.107857849234843,34.232148743623696,31.8,3.816,100143,100133,-2.4321487436236957
22245,Index,Flex,2,313,3.861730383219922,32.181086526832686,30.7,3.6839999999999997,100143,100133,-1.4810865268326872
22245,Middle,Flex,3,300,3.8575612781379918,32.146343984483266,29.000000000000004,3.4800000000000004,100129,100164,-3.146343984483263
22311,Thumb,Flex,1,293,4.171657802417768,34.76381502014807,31.43333333333333,3.7719999999999994,100120,100129,-3.3304816868147427
22311,Index,Flex,2,317,3.9563562090881996,32.969635075735,30.316666666666666,3.638,100152,100161,-2.6529684090683325
22311,Middle,Flex,3,310,4.4311701618331725,36.92641801527644,28.666666666666668,3.44,100132,100162,-8.259751348609772
22377,Thumb,Flex,1,314,3.8729406861574933,32.27450571797911,31.06666666666667,3.728,100140,100160,-1.2078390513124404
22377,Index,Flex,2,316,3.6845462187256457,30.704551822713714,29.933333333333334,3.592,100146,100109,-0.7712184893803808
22377,Middle,Flex,3,315,3.6887700185298127,30.739750154415105,28.333333333333332,3.4,100102,100128,-2.4064168210817733
22443,Thumb,Flex,1,308,4.2426659139120035,35.35554928260003,30.7,3.6839999999999997,100110,100102,-4.655549282600031
22443,Index,Flex,2,312,3.8995858400825454,32.496548667354546,29.55,3.546,100120,100130,-2.946548667354545
22443,Middle,Flex,3,308,3.8012573007458896,31.677144172882414,27.999999999999996,3.3599999999999994,100112,100133,-3.677144172882418
22509,Thumb,Flex,1,311,3.7542577965891684,31.28548163824307,30.333333333333336,3.64,100118,100129,-0.9521483049097341
22509,Index,Flex,2,307,3.7708507725281724,31.42375643773477,29.166666666666668,3.5,100131,100124,-2.2570897710681024
22509,Middle,Flex,3,304,3.581776985621611,29.84814154684676,27.666666666666668,3.32,100124,100134,-2.181474880180094
22575,Thumb,Flex,1,302,3.7801915188529773,31.50159599044148,29.966666666666665,3.5959999999999996,100133,100172,-1.534929323774815
22575,Index,Flex,2,313,3.399709644800512,28.330913706670938,28.78333333333333,3.4539999999999997,100130,100144,0.4524196266623939
22575,Middle,Flex,3,311,3.4689238989378994,28.90769915781583,27.333333333333332,3.28,100091,100118,-1.5743658244824985
22641,Thumb,Flex,1,307,4.182842444519389,34.85702037099491,29.6,3.552,100110,100079,-5.257020370994908
22641,Index,Flex,2,316,3.659957586950812,30.499646557923434,28.400000000000002,3.408,100108,100078,-2.099646557923432
22641,Middle,Flex,3,293,3.7954636061728304,31.628863384773588,27.0,3.2399999999999998,100118,100138,-4.628863384773588
22707,Thumb,Flex,1,310,3.798086700032253,31.650722500268778,29.233333333333334,3.508,100099,100072,-2.4173891669354433
22707,Index,Flex,2,310,3.54799148625697,29.566595718808085,28.01666666666667,3.362,100137,100146,-1.5499290521414153
22707,Middle,Flex,3,306,3.7207040280989547,31.005866900824625,26.666666666666664,3.1999999999999997,100088,100090,-4.3392002341579605
22773,Thumb,Flex,1,318,4.142245565212379,34.51871304343649,28.866666666666664,3.4639999999999995,100135,100109,-5.652046376769828
22773,Index,Flex,2,314,3.598784537067075,29.989871142225628,27.63333333333333,3.3159999999999994,100130,100147,-2.3565378088922984
22773,Middle,Flex,3,309,3.2182995169271646,26.819162641059705,26.333333333333332,3.1599999999999997,100131,100142,-0.4858293077263731
22839,Thumb,Flex,1,310,3.736411858285122,31.13676548570935,28.5,3.42,100122,100112,-2.6367654857093505
22839,Index,Flex,2,316,3.775070609727712,31.458921747730933,27.25,3.27,100110,100086,-4.208921747730933
